Address,Listing Title / Heading,postcode,Rent $ First Listed,Rent $ Per Month/Weak,Date Property Removed,Agency Name,Agent_address,listing_link,Contact Number,Features,Property Description
"Spital Street, Dartford, Kent",House to rent,DA1,"£1,000 pcm (£231 pw)","£1,000 pcm (£231 pw)",,Sealeys - Kent,"184 Parrock Street, Gravesend, Kent, DA121EN",https://www.onthemarket.com/details/7978202/, 01474 527893,[],"['','DESCRIPTION','RENT','£1,000PERCALENDARMONTH(£12,000PERANNUM)','LOCATIONDESCRIPTION','LocatedintheheartofDartfordTownCentrewithinitsbusyone-waysystem.DartfordStationlieswithin0.5milestothenortheast.TheA2iswithin1.25milestothesouth,connectingtotheM25andDartfordRiverCrossing.','PROPERTYDESCRIPTION','GroundFloor','Frontofshopwithrearretailarea,stairstobasement,WCandtreatmentroom.290sqft(26.95sqm)','Basement','Twotreatmentroomsandastorearea.19.18sqm(206sqft)','CURRENTCLASSOFBUSINESSUSE','TheLandlordadvisesthattheclassificationA1Retailusecategoryisthepermitteduse.','CURRENTBUSINESSRATES','Interestedpartiesareadvisedtomaketheirownenquiriesviathelocalauthority.','']"
"Knights Manor Way, Dartford, Kent",Studio to rent,DA1,£675 pcm (£156 pw),£675 pcm (£156 pw),Availability date: 5 Sep 2020,Livermores The Estate Agents - Dartford,"1 Hythe Street, Dartford, DA1 1BE",https://www.onthemarket.com/details/9102232/, 01322 584765,"['STUDIO FLAT', 'PART FRUNISHED', 'POPULAR LOCATION', 'EASY ACCESS TO TOWN and RAILWAY STATION', 'ALLOCATED PARKING', 'AVAILABLE EARLY SEPTEMBER', ""COUNCIL TAX 'A'"", ""EPC RATING 'TBA'"", 'SIMILAR PROPERTIES REQUIRED']","['','',""ThisisagreatsizedStudioFlatsituatedonapopulardevelopmentwithineasyreachofDartfordtowncentre.ThepropertyispartfurnishedandcomprisesEntranceHall,Lounge/Bedroom,KitchenandBathroom.Thereisallocatedparking.Partfurnished.AvailableearlySeptember2020.EPC'D'CouncilTaxBand'A'.\xa0""]"
The Homestead DA1,Studio to rent,DA1,£725 pcm (£167 pw),£725 pcm (£167 pw),Availability date: 9 Sep 2020,Acorn - Dartford,"5 Market Street, Dartford, DA1 1ey",https://www.onthemarket.com/details/9106924/, 01322 584652,"['Close To All Amenities', 'Superb Location', 'Studio Apartment ', 'Fully Fitted Kitchen', 'Unfurnished', 'Excellent Condition', 'Energy Efficiency Rating E']","['SpaciousstudioapartmentlocatedjustoffofCrayfordHighStreet.SituatedsuperblyforalllocaltransportlinksincludingCrayfordStation.Accommodationisofferedinanexcellentconditionthroughoutandcomprisesfullyfittedkitchen,threepiecebathroomsuiteandlounge.','EnergyEfficiencyRatingE']"
"Townley Road, Bexleyheath, DA6",2 bedroom flat to rent,DA6,"£1,018 pcm (£235 pw)","£1,018 pcm (£235 pw)",Availability date: 1 Sep 2020,Flats & Houses - Stoke Newington,"24 Stamford Hill, Stoke Newington, London, N16 6XZ",https://www.onthemarket.com/details/9134657/, 020 8115 0047,[],"['*NEWLYREFURBISHED2DOUBLEBEDROOMFLAT*','*GOODSIZELIVINGROOM*','*FULLYFITTEDKITCHEN*','*TILEDBATHROOM*','*C;LOSETOALLMAINBUSANDTRAVELLINKS*','*GASCENTRALHEATING*','*SHOPSANDAMENITIESCLOSEBY*','Anicenewlyrefurbished2doublebedroomflat,withagoodsizeseparatelivingroom,nicefullyfittedkitchenandtiledbathroom.','Theflatisa1minutewalktoallmainbusandtravellinks.']"
"Pickford Road, Bexleyheath",2 bedroom apartment to rent,DA6,"£1,199 pcm (£277 pw)","£1,199 pcm (£277 pw)",Unfurnished,Streets Estates - Strood,"111 High Street, Strood, ME2 4TJ",https://www.onthemarket.com/details/7414212/, 01634 215701,[],"['NewlydecoratedthroughoutFantasticnewlydecoratedtwobedroompurposebuiltapartmentavailableingoodlocation.HotelStandardfinishwithEn-suitetomasterbedroom,servicedLiftsandallocatedparkingspace.OpenplanKitchen/Lounge,integralappliances.ClosetoBexleyheathStation.Hurrytoavoiddisappointment!!','Features:','Groundfloorluxuryapartment','Twobedrooms','Newlydecoratedthroughout','En-suitetomasterbedroom','OpenplanKitchen/Lounge','Integralfridge/freezer','Integralwasher/dryer','Ovenhobextractor','Bathroom','Newcarpetsthroughout','Gascentralheating','Doubleglazing','Spacioushall','Lifts','Allocatedparking','Rooms:','Hall','Kitchen/Lounge','Bedroom1','En-suite','Bedroom2','Bathroom']"
"Russell Close, Bexleyheath, DA7",2 bedroom apartment to rent,DA7,"£1,100 pcm (£254 pw)","£1,100 pcm (£254 pw)",Available now,Cockburn Estate Agents - New Eltham,"352 Footscray Road, New Eltham, London, SE9 2EB",https://www.onthemarket.com/details/8865812/, 020 8115 2623,"['Two Bedrooms', 'Unfurnished', 'Close to town centre', 'Double Glazed & Gas Central Heating', 'Off Road Parking', 'Available Now', 'Close to transport Links, Schools and Shops', 'Keys held for Viewings']","['FantastictwobedroomfirstfloormaisonettelocatedinapopularculdesacnearbytoBexleyheathBroadway,Thepropertybenefitsfromhavingamodernfittedkitchen,modernbathroomsuite,gascentralheatingsystem,Privatecourtyardgardenwithaccesstoparkingspace.']"
Gallops View DA3,2 bedroom semi-detached house to rent,DA3,"£1,050 pcm (£242 pw)","£1,050 pcm (£242 pw)",Available now,Sunflower lettings - Sevenoaks,"6 St Johns Hill, Sevenoaks,Kent, TN13 2NP",https://www.onthemarket.com/details/6863230/, 01732 658853,[],"['','Attractivetwobedroomgroundfloorflatspecificallydesignedforthoseover55.\xa0Thisofferstastefuldesigncentredaroundasmalldevelopmentwithprivategardenandownentrance.Itsadditionallyhasitsownparkingbayandvisitorsspaces.\xa0Theflathasbeenfinishedtoagoodstandardandincludesmodernstyling,twogoodsizedbedrooms,amplestorage,showerroomandmodernrecessedkitchenwithappliances.\xa0','']"
"Day Ash Lane, Darley, Harrogate, HG3 2QR",2 bedroom cottage to rent,HG3,£975 pcm (£225 pw),£975 pcm (£225 pw),Available now,Verity Frearson - Harrogate,"26 Albert Street, Harrogate, HG1 1JT",https://www.onthemarket.com/details/8860734/, 01423 578953,[],"['','','Adelightfulcottageappointedtoahighstandardenjoyinganattractiveoutlookoverthesurroundingcountrysideinthispeacefullocation.ThecottageprovidesspaciousaccommodationwithtwolargereceptionroomswithstovefiresandakitchenandutilitywithdownstairsWC.Onthefirstfloortherearetwodoublebedroomsandahousebathroom.ThischaracterfulstonecottagehasanattractivewalledgardenandparkingfortwovehiclesandissituatedinthisbeautifulandquietpositionintheoutskirtsofDarley.ItissurroundedbybeautifulopencountrysidebuthassecurityofneighboursandisconvenientforlocalvillageamenitiesandashortdrivefromthenearbytownsofHarrogateandPateleyBridge.EPCratingE.\xa0','','GROUNDFLOOR','SITTINGROOM','Alargereceptionroomwithmultifuelstoveandattractivestonefireplace.Windowtosideandfront.','DININGROOM','Afurtherlargereceptionroomwithwindowstosideandrearenjoyingattractiveoutlook.Woodburningstove.','KITCHEN','Awellequippedkitchenwithrangeofwallandbaseunits,integrateddishwasher,electrichob,ovenandintegratedfridge.Windowtoside.','UTILITY','Ausefulgoodsizedutilityareawithplumbingforwashingmachine.','CLOAKROOM','WithWCandbasin.','FIRSTFLOOR','BEDROOM1','Alargedoubleroomwithwindowstosideandrear.','BEDROOM2','Afurthergoodsizedroomwithwindowsenjoyingattractiveviews.','BATHROOM','WithbathandbasinanddoorleadingtofurtherroomwithWCandseparateshower.','OUTSIDE','Thepropertyhasanattractivewalledgardenwithlawnandwellstockedbordersandpatiosittingarea.Thereareshedsandusefuloutsidestorerooms.Parkingfortwovehicles.\xa0','COUNCIL','','TAX','','ThispropertyhasbeenplacedincounciltaxbandF.\xa0','TERMS','','1.TobeletonanAssuredShortholdTenancyforaminimumtermofatleast6months.',""2.Nopets,childrenorsharerswithoutlandlord'sconsent."",'3.Eachapplicantisrequiredtocompleteanapplicationformtoapplyforaproperty.AnapplicationisnotdeemedasputforwarduntilALLapplicantshavereturnedafullycompletedformtotheagent.','4.Referenceswillbeobtainedusingacreditreferenceagency.','5.Theholdingdepositistheequivalentof1weeksrentpayabletoreserveaproperty.','6.Theholdingdepositcanberetainedbytheagent/landlordincertaincircumstancesifthetenancydoesnotgoaheadasoutlinedwithinSchedule1,TenantFeesAct2019.','7.TheBond(securitydeposit)istheequivalentof5weeksrentpayableinclearedfundsatthecommencementofthetenancy.','8.Thepropertywillbewithdrawnfromthemarketpendingreferencingandrighttorentchecksassoonasanapplicationisprovisionallyacceptedbythelandlordandaholdingdeposithasbeenpaid.','9.Theholdingdepositwillbeusedaspartofyourfirstmonthsrentpaymentiftheapplicationcomestofruition.','10.Thedeadlineforagreementis15calendardaysfromthedatetheholdingdepositisreceivedbytheagent.','11.Themove-indatemustbenomorethan30daysafterpaymentoftheholdingdeposit.Themoveindatewillbeagreedattheapplicationstage.','12.Beforemovingintoapropertypaymentofthefirstmonthsrentandbondmustbemadeinclearedfunds.','13.Tenantsareresponsibleforanypermittedpaymentsifapplicablethroughoutthetenancy.','14.Pleasenotethatalldimensionsgiveninthesedetailsareapproximateandthatpropertiesareofferedtoletasseen.Prospectivetenantsshouldsatisfythemselvesastothesuitabilityofthepropertyonthisbasisbeforeapplyingforatenancy.','15.VerityFrearsonisamemberofRICs,whichisaclientmoneyprotectionschemeandalsoamemberofThePropertyOmbudsman(TPO)whichisaredressscheme.','16.ThispropertywillbemanagedbyVerityFrearson.\xa0']"
"Summerbridge, Harrogate, North Yorkshire",3 bedroom detached bungalow to rent,HG3,£750 pcm (£173 pw),£750 pcm (£173 pw),Available now,"Dacre, Son & Hartley - Ripon","10 Queen Street, Ripon, HG4 1ED",https://www.onthemarket.com/details/1954172/, 01765 356936,"['Two / three bedroom dormer bungalow', 'Spacious sitting room', 'Low maintenance gardens', 'Off street parking and single garage']","['LOCATION','Aspaciousdetachedtwo/threebedroomdormerbungalowinthismostpopularandconvenientvillagelocation.Withgascentralheatingthepropertyfeaturesspaciousandflexiblelivingaccommodationtoincludefittedbreakfastkitchen,goodsizedlounge,diningroom/bedroomoneandshowerroomtothegroundfloortogetherwithtwobedroomsandahousebathroomtothefirstfloor.Outsidethereisanampledrivewaytothefrontleadingtoagarageandtotherearthereisapatioseatingareaandlowmaintenancegardens.',""WoodCloseisconvenientlylocatedjustoffthemainstreetthroughSummerbridge,ontheroadfromHarrogatetoPateleyBridge.ThedelightfulvillageofSummerbridgeanditsvariedamenitiesarejustashortwalkfromtheproperty,thereisaprimaryschool,villageshop,butchers,tearoom,postoffice,garageandpetrolstation,theneighbouringvillageofDacreBanksoffersfurtherfacilitiesincludingamedicalcentre.SecondaryschoolsarelocatedinPateleyBridge,RiponandHarroagte.ThereisaregularbusservicefromthevillageandthepropertyenjoyseasyaccesstotheA59,withlinkstoOtley,SkiptonandHarrogate,plustheregion'smotorwaynetworkandbusinesscentres."",'DIRECTIONS',""HeadingtowardsPateleyBridgefromHarrogateenterthevillageofSummerbridgeandthepropertycanbefoundonthelefthandsidejustafter'TheFirs'cafewhichisontheright."",'']"
"Rossett Green Lane, Harrogate, HG2 9LL",5 bedroom semi-detached house to rent,HG3,"£4,250 pcm (£981 pw)","£4,250 pcm (£981 pw)",Available now,FSS Feather Smailes Scales - Harrogate,"8 Raglan Street, Harrogate, HG1 1LE",https://www.onthemarket.com/details/8994270/, 01423 578944,"['Detached House', '4 Reception 5 Bedrooms 4 Bathrooms', 'Beautifully Presented and Most Spacious', 'Neutrally Decorated Throughout', 'Spacious Breakfast Kitchen with Bespoke Units', 'Feature Galleried Landing', 'Premier Residential Area', 'Secure Electric Gate Access', 'Studio/Hobbies/Games Room above Triple Carport', 'Large, Landlord Maintained Gardens']","['','Description','','Abeautifullypresentedandmostspacious,5bedroomed,4bathroomed,linkdetachedproperty,whichhasbeencarpetedthroughouttoahighstandardinneutralcoloursandhasbeenneutrallydecoratedthroughout.Particularfeaturesofthepropertyarethespaciousbreakfastkitchenwithbespokeunits,goodqualitybathrooms,flexiblegroundflooraccommodationandfeaturegalleriedlanding.Therearealsolarge,landlordmaintainedgardenswithsecureelectricgateaccessandausefulstudio/hobbies/gamesroomabovethetriplecarport.Thepropertyisequippedwithsomedoubleglazingandgascentralheating.\xa0','Location','','RossettGreenLaneisoneofthepremierresidentialareasofHarrogateandislocatedclosetoexcellentlocalschoolsforallagesandiswithinaccessofHornbeamandPannalrailwaystationswithlinkstoLeeds,Yorkandbeyond.\xa0']"
