Address,Bedrooms,Bathrooms,Listing Title / Heading,Date Property First Listed,Agency Name,Agent Name,Listing Link,Contact Number,Property Description
"3 Heather Street, Levin, Horowhenua, Manawatu / Whanganui",   4 Beds ,   1 Bath ," Levin, 4 bedrooms ",, Seddon Street Property Management Ltd , Maureen Duffy ,https://www.trademe.co.nz/a/property/residential/rent/manawatu-whanganui/horowhenua/levin/listing/2758792128?rsqid=f9b355ce0f8046a4a43d526208db0086-001,,"Open Home: Sunday 30 August from 1.45-2.15pm,Bond: $2,100 (4 Weeks),* Pets Welcome *,Great renovated 3 bedroom plus large sleepout home.,The property has been freshly renovated, painted inside and out, new roof, new carpet and vinyl throughout, new kitchen, new bathroom and new heat pump.,Eco panel heaters and smoke alarms in all bedrooms.,Single garage with large sleepout attached."
"33 Beatty Road, Pukekohe, Franklin, Auckland",   4 Beds ,   1 Bath ," Pukekohe, 4 bedrooms ",, Inspire Property Management , Mariette Versteeg ,https://www.trademe.co.nz/a/property/residential/rent/auckland/franklin/pukekohe/listing/2758636715?rsqid=f9b355ce0f8046a4a43d526208db0086-001,,"RENOVATED MARVEL..................,This home is waiting for you and has been completely renovated to a very high standard.,Comprising 4 bedrooms, one of which is an outside cabin for that extended family member or independent teenager, this property offers you many options and comforts.,From the granite benchtops in the kitchen to the polished floors and complete insulation, this home just exudes quality and comfort. It must be seen to be believed!!,The property is fully fenced and has plenty of room for kids to play and kick the ball around.,Opportunities like this do not come along that often, so act quickly or you will miss out.,Contact Mariette on 0212722075 or mailto:mariette@inspireproperty.co.nz,No pets or smokers."
"3b/31 Day Street, City Centre, Auckland City, Auckland",   1 Bed ,   1 Bath ," City Centre, 1 bedroom ",,,,https://www.trademe.co.nz/a/property/residential/rent/auckland/auckland-city/city-centre/listing/2758602670?rsqid=f9b355ce0f8046a4a43d526208db0086-001,,"STUDIO, APARTMENT – INCLUDES CAR PARK,* FREE water *, ,Warm spacious * STUDIO * apartment on 3rd floor of secure, quiet, complex with large own-use curved balcony. Other apartments are mostly owner/occupied.,This apartment is approx. 40 sqm … much bigger than your average studio. ,UNFURNISHED*, but has full white-ware:, ,Oven Hob/2 hot-plate cook-top Range-hood Dishwasher full size fridge with separate freezer compartment full size washing machine full size wall mounted clothes drier , ,3rd floor apartment has moveable room divider / wardrobe that allows you to design your own space. ,Good indoor / outdoor flow to large curved balcony extends your living area. ,Huge roof-top communal picnic and BBQ area with sweeping views of city and harbour. ,:: Includes ALL Whiteware :: No charge for water - Probably equivalent to saving about $10 - $15 per week! :: Electricity: No connection fee, just pay for what you use. :: Secure undercover parking ,The location is superb! Located very close to Ponsonby, K'rd shops, upper Queen Street, and a stone’s throw from universities. Auckland City centre is just a couple of minute’s walk away.,UNFURNISHED – you need to bring your own bed. TV, other furniture.,No pets,Fixed term tenancy until 31 January 2021,REQUIREMENTS TO MOVE IN: , ,One weeks rent in advance 3 weeks rent as Bond Total move in costs $1780, ,TO APPLY FOR THIS PROPERTY YOU MUST PROVIDE: ,Photo ID (e.g. - Current Passport / NZ Drivers License / etc),Proof of current address,Proof of Employment or Income,2 references or contact details of 2 Referees – Preferably past landlords,Contact Sue for application form or appointment to view Phone 027 290 8285 mailto:Masters6255@gmail.com,No pets No smokers Maximum 2 tenants"
"3 Corrella Road, Belmont, North Shore City, Auckland",   5 Beds ,   1 Bath ," Belmont, 5 bedrooms ",,,,https://www.trademe.co.nz/a/property/residential/rent/auckland/north-shore-city/belmont/listing/2758569328?rsqid=f9b355ce0f8046a4a43d526208db0086-001,,"Located just a few minutes walk from Belmont shops, this large, well built family home.,This home features five bedrooms, a functional kitchen, dining room and spacious open-plan lounge. Downstairs is an enormous rumpus and oversized garage.A large section is great for children to enjoy. With top notch schools within walking distance it would be an ideal home to settle in for years to come, future-proofing your children's education.,The handy location can't be denied - pop around the corner to the local shops, bus links and ferry service to the CBD are close by and Takapuna & Devonport centres provide you with all your shopping and entertainment needs. Schools within easy walking distance include Belmont Primary, Belmont Intermediate and Takapuna Grammar. This property is well worth inspecting, so what are you waiting for?,For Viewing Phone Tina 021 187-5564"
"18 Wakefield Street, City Centre, Auckland City, Auckland",   2 Beds ,   2 Baths ," City Centre, 2 bedrooms ",, Renthub Ltd , Marina George ,https://www.trademe.co.nz/a/property/residential/rent/auckland/auckland-city/city-centre/listing/2758663199?rsqid=f9b355ce0f8046a4a43d526208db0086-001,,"WAKEFIELD APARTMENTS Apartments in this building are highly sort after because they are large and airy. Stylish modern decor ready for you to move in and create as your new home Tidy and tastefully decorated this super spacious 115sqm two bedroom , two bathroom apartment has an extra large living area and an outlook towards Aotea Square.,Features: 2 double bedrooms (master with ensuite) with built in wardrobes and full size windows which give lots of natural light.,Full size kitchen with dishwasher and fridge,Spacious living/dining area with heatpump has large windows that open out to a 11sqm balcony ,Main bathroom has a shower over a bath, vanity and WC.,Chattels: fridge, washing machine, dryer and dishwasher,NB: This property is unfurnished.,One secure carpark.,Building has residents gym.,Absolutely perfect city location. Easy access to Auckland University, AUT, business schools and language schools. Aotea Square is on your doorstep, along with all of the shops, cafes, restaurants, cinemas and entertainment venues that Queen St has to offer. ,MOVE IN COSTS: 2 rent in advance 4 weeks bond,REGISTER TO VIEW ONLINE,INTERESTED IN SEEING THIS PROPERTY? To ensure you don’t miss out on seeing this property register through the website/advert to receive automatic viewing times or to request a viewing. PLEASE NOTE: If you are wanting to see this property you MUST REGISTER so we can keep you up-to-date on viewing times. If there are no registered attendees for a viewing, that particular viewing may be cancelled - so if you wish to attend, please ensure you register. Drive by to view the exterior, but please do not enter the grounds of the property.,LANDLORDS: LOOKING FOR A QUALITY TENANT?.,Looking for a cheaper solution to find your next tenant? Find it stressful selecting a well qualified tenant? Fin"
"54 Riverhead Road, Kumeu, Rodney, Auckland",   3 Beds ,   1 Bath ," Kumeu, 3 bedrooms ",," Ray White Kumeu (Vista Realty Ltd), (Licensed: REAA 2008) ", Paige Parker ,https://www.trademe.co.nz/a/property/residential/rent/auckland/rodney/kumeu/listing/2758613058?rsqid=f9b355ce0f8046a4a43d526208db0086-001,,"PLEASE NOTE due to Covid-19 Level 3 Restrictions - if you are interested in the property FIRSTLY please pop on to our website http://www.vistarentals.co.nz and find the property and make an application, then we will make contact to arrange viewing there after.,This newly renovated character bungalow is set in a great location in Kumeu with a north facing aspect. Open plan modern kitchen+dining and lounge all with naturally finished Tawa flooring. 3 good sized carpeted bedrooms all with built in wardrobes + a full family bathroom this homes layout makes for great family living.,Lovely flower garden and fruit trees including apple, peach, and plum and a great fully fenced backyard for the kids to run about. Double carport as well as ample off street parking available.,Minutes away from the local shops, restaurants and amenities + with several pre-schools and Primary Schools close by it is perfectly situated for a family.,This property has a Heat pump, Dishwasher, Oven, Electric Gate and there is the option of a Fridge/Freezer and Washing machine should the tenant wish to use these,No Smokers - Pets may be considered for the right applicant Lawns and Garden to be taken care of by the Landlord Move in costs: 4 weeks bond and 1 week rent in advance = $3,575.00 - Don't delay act today!,Landlords/Investors: Ray White Kumeu offer professional Property Management services - ask us today about our management packages, casual letting services and rental appraisal services. PH: 027 847 8218 or email: mailto:paige.parker@raywhite.com"
"6 Ashbourne Street, Burnside, Christchurch City, Canterbury",   3 Beds ,   2 Baths ," Burnside, 3 bedrooms ",,,,https://www.trademe.co.nz/a/property/residential/rent/canterbury/christchurch-city/burnside/listing/2758680486?rsqid=f9b355ce0f8046a4a43d526208db0086-001,,"One year old Sunny 3 bedroom home with 2 bathrooms.,3 double bedroom executive house. Double internal access garage. Easy living.,All day sunshine, double glazing, full insulation, heat pump in open plan kitchen lounge & panel heaters in bedrooms.,This beautiful home, in popular Ashbourne Street is zoned for & a short walk from Burnside High School, Burnside Park and is also zoned for Cobham Intermediate School & Roydvale Primary School.,Very close to Airport.,Spacious kitchen with electric cooktop & oven, dishwasher & rangehood. Breakfast bar for your dining.,Lounge & Master bedroom open to sunny north facing private courtyard.,Master bedroom with walk in wardrobe and ensuite. Two other bedrooms are doubles with built in double wardrobes. Large family bathroom including full sized bath & separate shower.,Low maintenance outdoor living area.,To get into this property you will require 4 weeks security and 1 weeks rent in advance. Available late October.,Free fibre internet.,Owners live onsite in studio with separate outdoor area.,To apply phone 0212542479,Suitable for up to 4 people. No pets or smokers."
"2a Kiwi Esplanade, Mangere Bridge, Manukau City, Auckland",   2 Beds ,   1 Bath ," Mangere Bridge, 2 bedrooms ",,,,https://www.trademe.co.nz/a/property/residential/rent/auckland/manukau-city/mangere-bridge/listing/2758668940?rsqid=f9b355ce0f8046a4a43d526208db0086-001,,"Newly built (2019) architecturally designed, beautiful 2 bed unit. Solid oak wooden flooring in the main areas, carpet in the bedrooms. ,Kitchen includes a wastemaster and Fisher & Paykel appliances, dishwasher, induction hob, self-cleaning oven, rangehood. ,Bathroom has underfloor heating, heated towel rail and opening skylight above the shower. ,Bedrooms have built in double wardrobes. ,Ducted air-conditioning / heat pump in each room, security system includes house and smoke alarms."
" Dick Street, Cambridge, Waipa, Waikato",   3 Beds ,   2 Baths ," Cambridge, 3 bedrooms ",, Accommodation Rental Solutions Ltd T/a A.R.S. Property Management , Gaylene O'Sullivan ,https://www.trademe.co.nz/a/property/residential/rent/waikato/waipa/cambridge/listing/2758554069?rsqid=f9b355ce0f8046a4a43d526208db0086-001,,"CAMBRIDGE CENTRAL HERE......,Great home that has just come on the market for rent for the first time......,A.R.S Property Management Ltd are pleased to be able to offer you this Cambridge home for rent. Please go to our website and complete the application from the tenant drop down tab to register for a viewing.,This is a sunny home with a spacious open plan living area, the dining area opens out to a large deck area, the bedrooms are of a good size and the master has an ensuite, location perfect for those without transport to town. Nice raised garden beds too and a lot of paved areas so easy care.,Sorry no pets."
" Puhirake Cres, Tauriko, Tauranga, Bay Of Plenty",   3 Beds ,   2 Baths ," Tauriko, 3 bedrooms ",,,,https://www.trademe.co.nz/a/property/residential/rent/bay-of-plenty/tauranga/tauriko/listing/2758648260?rsqid=f9b355ce0f8046a4a43d526208db0086-001,,"This 3 year old house is a sunny, warm and quiet home. 3-4 bedrooms plus big double garage. Please email mailto:annajstanden@gmail.com for an application form."
