link,country,listed,address,bedrooms,bathrooms,car_spaces,agency,agent
https://www.trademe.co.nz/a/property/residential/sale/auckland/auckland-city/avondale/listing/2756236572?rsqid=9dffbf1518d64b2d9d56d7bed49e5589-001,New Zealand," Listed: Wed, 26 Aug ","Lot 16/2B Walsall Street, Avondale, Auckland City, Auckland",   2 Beds ,   2 Baths , 1 Car Off Street Parking ," Barfoot & Thompson New Lynn, (Licensed: REAA 2008) ", Anna Lechtchinski 
https://www.trademe.co.nz/a/property/residential/sale/auckland/auckland-city/avondale/listing/2676765473?rsqid=9dffbf1518d64b2d9d56d7bed49e5589-001,New Zealand," Listed: Thu, 25 Jun ","2/32 Canal Road, Avondale, Auckland City, Auckland",   2 Beds ,   1 Bath , 1 OSP ," Ray White Green Bay – Austar Realty Ltd, (Licensed: REAA 2008) ", Jack Lee 
https://www.trademe.co.nz/a/property/residential/sale/auckland/auckland-city/avondale/listing/2691175255?rsqid=9dffbf1518d64b2d9d56d7bed49e5589-001,New Zealand," Listed: Tue, 7 Jul ","7B Methuen Road, Avondale, Auckland City, Auckland",   3 Beds ,   1 Bath , 2 Car Garage ," Barfoot & Thompson New Lynn, (Licensed: REAA 2008) ", Miguel Menezes 
https://www.trademe.co.nz/a/property/residential/sale/auckland/auckland-city/avondale/listing/2701849898?rsqid=9dffbf1518d64b2d9d56d7bed49e5589-001,New Zealand," Listed: Wed, 15 Jul ","43/68 Fonteyn Street, Avondale, Auckland City, Auckland",   2 Beds ,   1 Bath ," 1 car garaging, 1 off street "," Harcourts New Lynn Shelter Realty Ltd MREINZ, (Licensed: REAA 2008) ", Albert Low 
https://www.trademe.co.nz/a/property/residential/sale/auckland/auckland-city/avondale/listing/2736246919?rsqid=9dffbf1518d64b2d9d56d7bed49e5589-001,New Zealand," Listed: Tue, 11 Aug ","1/40 Rosebank Road, Avondale, Auckland City, Auckland",   2 Beds ,   1 Bath , 1 Car Garage ," Barfoot & Thompson Mt Roskill, (Licensed: REAA 2008) ", Sejal Patel 
https://www.trademe.co.nz/a/property/residential/sale/auckland/auckland-city/avondale/listing/2736236702?rsqid=9dffbf1518d64b2d9d56d7bed49e5589-001,New Zealand," Listed: Tue, 11 Aug ","1/78 St Georges Road, Avondale, Auckland City, Auckland",   3 Beds ,   2 Baths , 2 Car Garage ," Barfoot & Thompson Mt Roskill, (Licensed: REAA 2008) ", Alex Wu 
https://www.trademe.co.nz/a/property/new-homes/new-townhouse-terraced/auckland/auckland-city/avondale/listing/2642246141?rsqid=9dffbf1518d64b2d9d56d7bed49e5589-001,New Zealand," Listed: Thu, 28 May ","30 Sandy Lane, Avondale, Auckland City, Auckland",,, 1 car garaging ," Bayleys Remuera, (Licensed: REAA 2008) ", Harry Cheng 
https://www.trademe.co.nz/a/property/residential/sale/auckland/auckland-city/avondale/listing/2533277038?rsqid=9dffbf1518d64b2d9d56d7bed49e5589-001,New Zealand," Listed: Fri, 14 Feb ","300B Blockhouse Bay Road, Avondale, Auckland City, Auckland",   4 Beds ,   2 Baths , 4 Car Off Street Parking ," Barfoot & Thompson New Lynn, (Licensed: REAA 2008) ", Miguel Menezes 
https://www.trademe.co.nz/a/property/new-homes/new-townhouse-terraced/auckland/auckland-city/avondale/listing/2642251788?rsqid=9dffbf1518d64b2d9d56d7bed49e5589-001,New Zealand," Listed: Thu, 28 May ","30 Sandy Lane, Avondale, Auckland City, Auckland",,, 1 car garaging ," Bayleys Remuera, (Licensed: REAA 2008) ", Harry Cheng 
https://www.trademe.co.nz/a/property/residential/sale/auckland/auckland-city/avondale/listing/2694245399?rsqid=9dffbf1518d64b2d9d56d7bed49e5589-001,New Zealand," Listed: Thu, 9 Jul ","404/26C Racecourse Parade, Avondale, Auckland City, Auckland",   2 Beds ,   2 Baths , 1 car garaging ," Harcourts Northwest Realty Ltd, (Licensed: REAA 2008) ", Diego Traglia 
