link,Lising_Date,address,price,bedrooms,bathrooms,Area,prorperty_type
"https://www.zillow.com/homes/for_sale/Atlanta,GA/",3D Home,"18 Brittany Way NE, Atlanta, GA 30324","$255,900",2 bds,2 ba,"1,450 sqft",Condo for sale
"https://www.zillow.com/homes/for_sale/Atlanta,GA/",Video Walkthrough,"391 Argonne Dr NW, Atlanta, GA 30305","$7,994,000",6 bds,9 ba,"9,622 sqft",Condo for sale
"https://www.zillow.com/homes/for_sale/Atlanta,GA/",,,,,,,Condo for sale
"https://www.zillow.com/homes/for_sale/Atlanta,GA/",5 days on Zillow,"2354 Pryor Rd SW, Atlanta, GA 30315","$279,900",3 bds,2 ba,"1,600 sqft",Condo for sale
"https://www.zillow.com/homes/for_sale/Atlanta,GA/",Video Walkthrough,"1040 W Conway Dr NW, Atlanta, GA 30327","$10,600,000",8 bds,13 ba,"15,539 sqft",Condo for sale
"https://www.zillow.com/homes/for_sale/Atlanta,GA/",1 day on Zillow,"4075 Kenora Dr SW, Atlanta, GA 30331","$105,000",4 bds,2 ba,"1,072 sqft",Condo for sale
"https://www.zillow.com/homes/for_sale/Atlanta,GA/",,"863 Peyton Ave NW, Atlanta, GA 30318","$229,999",4 bds,2 ba,"1,600 sqft",Condo for sale
"https://www.zillow.com/homes/for_sale/Atlanta,GA/",Open: Sun. 1-3pm,"803 Summit North Dr NE #803, Atlanta, GA 30324","$220,000",2 bds,2 ba,"1,353 sqft",Condo for sale
"https://www.zillow.com/homes/for_sale/Atlanta,GA/",58 days on Zillow,"505 Cascade Rise Ct SW, Atlanta, GA 30331","$239,900",4 bds,4 ba,"2,441 sqft",Condo for sale
"https://www.zillow.com/homes/for_sale/Atlanta,GA/",53 days on Zillow,"1571 Dodson Dr SW, Atlanta, GA 30311","$774,900",5 bds,6 ba,"7,950 sqft",Condo for sale
"https://www.zillow.com/homes/for_sale/Atlanta,GA/",Open: Sun. 2-5pm,"1156 Chatham Ave SW, Atlanta, GA 30311","$419,000",5 bds,4 ba,"2,200 sqft",Condo for sale
"https://www.zillow.com/homes/for_sale/Atlanta,GA/",3 days on Zillow,"3503 Umatilla Ln SW, Atlanta, GA 30331","$283,000",5 bds,3 ba,"3,170 sqft",Condo for sale
"https://www.zillow.com/homes/for_sale/Atlanta,GA/",2 days on Zillow,"1833 Penelope Rd NW, Atlanta, GA 30314","$185,000",3 bds,2 ba,"1,672 sqft",Condo for sale
"https://www.zillow.com/homes/for_sale/Atlanta,GA/",2 days on Zillow,"2200 Defoors Ferry Rd NW, Atlanta, GA 30318","$450,000",3 bds,3 ba,"2,228 sqft",Condo for sale
"https://www.zillow.com/homes/for_sale/Atlanta,GA/",3D Home,"625 Ferris St SW, Atlanta, GA 30310","$289,900",3 bds,2 ba,"1,118 sqft",Condo for sale
"https://www.zillow.com/homes/for_sale/Atlanta,GA/",Open: Sat. 1-3pm,"877 Euclid Ave NE, Atlanta, GA 30307","$495,000",2 bds,1 ba,"1,159 sqft",Condo for sale
"https://www.zillow.com/homes/for_sale/Atlanta,GA/",1 day on Zillow,"901 Cascade Xing SW, Atlanta, GA 30331","$274,000",3 bds,3 ba,"2,395 sqft",Condo for sale
"https://www.zillow.com/homes/for_sale/Atlanta,GA/",,"515 W Paces Ferry Rd NW, Atlanta, GA 30305","$6,595,000",8 bds,11 ba,"15,344 sqft",Condo for sale
"https://www.zillow.com/homes/for_sale/Atlanta,GA/",3 days on Zillow,"6750 Springfield Dr, Atlanta, GA","$361,056",4 bds,3 ba,"3,065 sqft",Condo for sale
"https://www.zillow.com/homes/for_sale/Atlanta,GA/",8 days on Zillow,"1818 Lakewood Ave SE, Atlanta, GA 30315","$179,900",4 bds,2 ba,"1,795 sqft",Condo for sale
"https://www.zillow.com/homes/for_sale/Atlanta,GA/",Open: Sat. 1-3pm,"1444 Lynford Dr SW, Atlanta, GA 30310","$345,000",3 bds,2 ba,"1,596 sqft",Condo for sale
"https://www.zillow.com/homes/for_sale/Atlanta,GA/",15 days on Zillow,"3808 Narron Dr SW, Atlanta, GA 30331","$121,000",4 bds,3 ba,"1,308 sqft",Condo for sale
"https://www.zillow.com/homes/for_sale/Atlanta,GA/",,"1183 6th St NW, Atlanta, GA 30318","$164,500",6 bds,4 ba,"4,019 sqft",Condo for sale
"https://www.zillow.com/homes/for_sale/Atlanta,GA/",1 day on Zillow,"613 Glenwood Pl SE, Atlanta, GA 30316","$499,000",3 bds,2 ba,"1,433 sqft",Condo for sale
"https://www.zillow.com/homes/for_sale/Atlanta,GA/",2 days on Zillow,"47 Roseclair Dr SE, Atlanta, GA 30317","$585,000",4 bds,3 ba,"2,321 sqft",Condo for sale
"https://www.zillow.com/homes/for_sale/Atlanta,GA/",3 days on Zillow,"2542 Laquanda Ct SW, Atlanta, GA 30331","$469,500",5 bds,5 ba,"3,729 sqft",Condo for sale
"https://www.zillow.com/homes/for_sale/Atlanta,GA/",2 days on Zillow,"833 Turpin Ave SE, Atlanta, GA 30312","$360,000",3 bds,2 ba,"1,125 sqft",Condo for sale
"https://www.zillow.com/homes/for_sale/Atlanta,GA/",227 days on Zillow,"90 Whitaker Cir NW, Atlanta, GA 30314","$150,000",3 bds,3 ba,"1,192 sqft",Condo for sale
"https://www.zillow.com/homes/for_sale/Atlanta,GA/",2 days on Zillow,"526 Saint Charles Ave NE, Atlanta, GA 30308","$1,199,000",3 bds,3 ba,"3,077 sqft",Condo for sale
"https://www.zillow.com/homes/for_sale/Atlanta,GA/",1 day on Zillow,"1539 Glenwood Ave SE, Atlanta, GA 30316","$350,000",2 bds,2 ba,"1,106 sqft",Condo for sale
"https://www.zillow.com/homes/for_sale/Atlanta,GA/",141 days on Zillow,"758 S Grand Ave NW, Atlanta, GA 30318","$240,000",3 bds,3 ba,"1,316 sqft",Condo for sale
"https://www.zillow.com/homes/for_sale/Atlanta,GA/",22 hours ago,"928 Woodland Ave SE, Atlanta, GA 30316","$679,000",4 bds,2 ba,"2,062 sqft",Condo for sale
"https://www.zillow.com/homes/for_sale/Atlanta,GA/",3 days on Zillow,"307 Cherokee Ave SE, Atlanta, GA 30312","$345,900",1 bd,2 ba,920 sqft,Condo for sale
"https://www.zillow.com/homes/for_sale/Atlanta,GA/",Open: Sun. 2-4pm,"821 United Ave SE, Atlanta, GA 30312","$499,000",2 bds,2 ba,"1,325 sqft",Condo for sale
"https://www.zillow.com/homes/for_sale/Atlanta,GA/",Open: Sun. 2-4pm,"93 E Lake Ter SE, Atlanta, GA 30317","$599,900",3 bds,3 ba,"2,112 sqft",Condo for sale
"https://www.zillow.com/homes/for_sale/Atlanta,GA/",Open: Sat. 1-4pm,"1044 Moreland Dr SE, Atlanta, GA 30315","$199,900",3 bds,1 ba,"1,080 sqft",Condo for sale
"https://www.zillow.com/homes/for_sale/Atlanta,GA/",2 days on Zillow,"539 Elmwood Dr NE, Atlanta, GA 30306","$1,200,000",5 bds,4 ba,"2,216 sqft",Condo for sale
"https://www.zillow.com/homes/for_sale/Atlanta,GA/",1 day on Zillow,"2023 Grange Dr SE, Atlanta, GA 30315","$219,000",4 bds,2 ba,988 sqft,Condo for sale
"https://www.zillow.com/homes/for_sale/Atlanta,GA/",2 days on Zillow,"647 Langston Dr SW, Atlanta, GA 30315","$235,000",3 bds,2 ba,"1,169 sqft",Condo for sale
