book_name,price,in_stock
A Light in the ...,£51.77,In stock (22 available)
Libertarianism for Beginners,£51.33,In stock (19 available)
The Dirty Little Secrets ...,£33.34,In stock (19 available)
Tipping the Velvet,£53.74,In stock (20 available)
The Requiem Red,£22.65,In stock (19 available)
Sharp Objects,£47.82,In stock (20 available)
Soumission,£50.10,In stock (20 available)
Sapiens: A Brief History ...,£54.23,In stock (20 available)
It's Only the Himalayas,£45.17,In stock (19 available)
Mesaerion: The Best Science ...,£37.59,In stock (19 available)
Olio,£23.88,In stock (19 available)
Our Band Could Be ...,£57.25,In stock (19 available)
Rip it Up and ...,£35.02,In stock (19 available)
Set Me Free,£17.46,In stock (19 available)
Shakespeare's Sonnets,£20.66,In stock (19 available)
Starving Hearts (Triangular Trade ...,£13.99,In stock (19 available)
The Boys in the ...,£22.60,In stock (19 available)
The Black Maria,£52.15,In stock (19 available)
The Coming Woman: A ...,£17.93,In stock (19 available)
In Her Wake,£12.84,In stock (19 available)
The Four Agreements: A ...,£17.66,In stock (18 available)
The Elephant Tree,£23.82,In stock (18 available)
The Five Love Languages: ...,£31.05,In stock (18 available)
Wall and Piece,£44.18,In stock (18 available)
Scott Pilgrim's Precious Little ...,£52.29,In stock (19 available)
How Music Works,£37.32,In stock (19 available)
Black Dust,£34.53,In stock (19 available)
Aladdin and His Wonderful ...,£53.13,In stock (19 available)
America's Cradle of Quarterbacks: ...,£22.50,In stock (19 available)
Birdsong: A Story in ...,£54.64,In stock (19 available)
Chase Me (Paris Nights ...,£25.27,In stock (19 available)
Worlds Elsewhere: Journeys Around ...,£40.30,In stock (18 available)
You can't bury them ...,£33.63,In stock (17 available)
Foolproof Preserving: A Guide ...,£30.52,In stock (19 available)
Behind Closed Doors,£52.22,In stock (18 available)
"In a Dark, Dark ...",£19.63,In stock (18 available)
Maude (1883-1993):She Grew Up ...,£18.02,In stock (18 available)
Penny Maybe,£33.29,In stock (18 available)
Sophie's World,£15.94,In stock (18 available)
The Bear and the ...,£36.89,In stock (18 available)
Reasons to Stay Alive,£26.41,In stock (17 available)
The Secret of Dreadwillow ...,£56.13,In stock (16 available)
The Torch Is Passed: ...,£19.09,In stock (16 available)
Thirst,£17.27,In stock (16 available)
This One Summer,£19.49,In stock (16 available)
Throwing Rocks at the ...,£31.12,In stock (16 available)
