title,price,main_info,location,description
&Attractive Area%  Flat Property/ available for Sale,"₹ 95,00,000",4 Bds - 4 Ba - 1600 ft2,Tamil Nadu,&Attractive Area%  Flat Property/ available for Sale
3BHK BRAND NEW PENTHOUSE WITH PRIVATE TERRACE FOR SALE,"₹ 1,60,00,000",3 Bds - 3 Ba - 2306 ft2,Karnataka,"3BHK BRAND NEW LARGE PENTHOUSE FOR SALE IN BANGALORE, HENNUR ROAD, IN PURVANKARA PALM WAVES PROJECT NEAR MANYATA TECH PARK. WITH PRIVATE TERRACE"
"आपले स्वप्नातील घर 2 बीएचके Rs.55.47 L , रावेत पुणे  64 मेरिडियन","₹ 55,47,187",2 Bds - 2 Ba - 920 ft2,Maharashtra,"आपले स्वप्नातील घर 2 बीएचके अपार्टमेंट, रावेत पुणे फक्त 64 मेरिडियन योजनेमध्ये 55.47 लाख रुपयांमध्ये बुक करा.
64 मेरिडियनमध्ये आपल्याला सर्व सुविधा आणि वैशिष्ट्यांसह गार्डन्स, क्लब हाऊसेस, व्यायामशाळा, मुलांचे खेळण्याचे क्षेत्र आणि सुविधा आढळतील.
६४ मेरिडियन हे मुख्य स्थान आहे जे मुंबई-पुणे महामार्गावर आहे.
अधिक माहिती / साइट भेटीसाठी आमच्याशी संपर्क साधा"
Flat 1 and 2 bhk for sale,"₹ 45,00,000",2 Bds - 2 Ba - 900 ft2,Maharashtra,Flat 1 and 2 bhk for sale price will be negotiable
"Villa for Sale at Andoorkonam,Thiruvananthapuram","₹ 30,00,000",3 Bds - 3 Ba - 900 ft2,Kerala,"3 cents land . 

Around 800 mtrs. from Andoorkonam and 1.5KM from venjaramoodu - Kazhakkoottam bypass"
It is fully furnished two storied building is around 12 bedrooms and o,"₹ 65,00,000",4+ Bds - 4+ Ba - 1200 ft2,West Bengal,It is listed by owner very good position near arrah more
24front 60 depth,"₹ 67,00,000",3 Bds - 2 Ba - 1440 ft2,Uttaranchal,Newly constructed 3 bedroom house. Few meters from kargi chowk . Good ventilation and ample natural light thoroughly the house ..
Ground floor with shop and garage at D. H. Rd Silpara on sale,"₹ 39,50,000",3 Bds - 2 Ba - 1500 ft2,West Bengal,"Only Ground floor of my house with area 2katha 33sq ft(land with structure) is on sale. Having 3rooms,2bathrooms,shop and garage.1 minute walking distance from D.H.Rd. Front road of the house is 20ft wide."
"Luxurious Apartments of 2 BHK and  in , Golf Course Extension","₹ 1,30,12,250",2 Bds - 2 Ba - 894 ft2,Haryana,"Luxurious Apartments of 2 BHK and  in , Golf Course Extension"
"2BHK in one of the ﬁnest locations of Wakad at Pink City Road, Pune","₹ 60,00,000",2 Bds - 2 Ba - 860 ft2,Maharashtra,"IRA Wakad
Located in one of the ﬁnest locations of Wakad at Pink City Road, Pune.Mont Vert in associtation with Sanjay Kalate Group presents 2 BHK thoughtful apartments at IRA WAKAD.Ira, Wakad is smart city initiative.Hinjwadi-shivaji nagar Metro-Commute to the interior parts of the city in a matter of mintues.Upcoming Linear Garden.
As Infrastructural Growth - City's Second Phoenix Market City in Wakadia hardly 5 mintues from IRA

AMENITIES FOR ENRICHED EXPERIENCES
- Kid's Play Area
- Open-Air Gym On Top Terrace
- Community Hall,Landscape Garden
- Pergolas And Seating Area On Top Terrace
- Automatic Elevators
- Fire-Fighting
- PCMC Water Supply
- Wheelchair-Friendly Development
- Rainwater Harvesting
- Covered Parking
- Solar Water Heating System & Many More..

KEY LOCATION:
A location that thinks about you.More Than ever thought about it. Wakad - A location that has made itself the center of the city's the IT corridor and has very quickly become a significant landmark."
