name,price,availability,warning,tax
The Black Maria,£52.15,In stock (19 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
The Requiem Red,£22.65,In stock (19 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",£17.93,In stock (19 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
Sapiens: A Brief History of Humankind,£54.23,In stock (20 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
Soumission,£50.10,In stock (20 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,£22.60,In stock (19 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
Sharp Objects,£47.82,In stock (20 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
Tipping the Velvet,£53.74,In stock (20 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
A Light in the Attic,£51.77,In stock (22 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
It's Only the Himalayas,£45.17,In stock (19 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
Mesaerion: The Best Science Fiction Stories 1800-1849,£37.59,In stock (19 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
Olio,£23.88,In stock (19 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
Libertarianism for Beginners,£51.33,In stock (19 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",£57.25,In stock (19 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
Rip it Up and Start Again,£35.02,In stock (19 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),£52.29,In stock (19 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
Set Me Free,£17.46,In stock (19 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
Shakespeare's Sonnets,£20.66,In stock (19 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
"Starving Hearts (Triangular Trade Trilogy, #1)",£13.99,In stock (19 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
The Dirty Little Secrets of Getting Your Dream Job,£33.34,In stock (19 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
Penny Maybe,£33.29,In stock (18 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
"In a Dark, Dark Wood",£19.63,In stock (18 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
You can't bury them all: Poems,£33.63,In stock (17 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
Behind Closed Doors,£52.22,In stock (18 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
Maude (1883-1993):She Grew Up with the country,£18.02,In stock (18 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
Sophie's World,£15.94,In stock (18 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
The Bear and the Piano,£36.89,In stock (18 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
The Elephant Tree,£23.82,In stock (18 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,£40.30,In stock (18 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
Aladdin and His Wonderful Lamp,£53.13,In stock (19 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,£31.05,In stock (18 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
The Four Agreements: A Practical Guide to Personal Freedom,£17.66,In stock (18 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
Wall and Piece,£44.18,In stock (18 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
Black Dust,£34.53,In stock (19 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",£30.52,In stock (19 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
Chase Me (Paris Nights #2),£25.27,In stock (19 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
How Music Works,£37.32,In stock (19 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
No One Here Gets Out Alive,£20.02,In stock (4 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
In Her Wake,£12.84,In stock (19 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
The Natural History of Us (The Fine Art of Pretending #2),£45.22,In stock (16 available), This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.,£0.00
