Room_url,Share_Type,Street,Area,Double/en_suit_Price,Double_Price,Aavailabe,Minimum_term,Maximum_term,Deposit_room_1,Deposit_room_2,Billing_Include,Furnishing,Parking,Garage,Garden/Terrace,balcony/patio,Disabled_access,Living_room,Broadband,Current_house_hold_Flatmates,Current_house_hold_Total_rooms,Current_house_hold_Smoker,Current_house_hold_Any_pet,Current_house_hold_Language,Current_house_hold_Occupation,Current_house_hold_Gender,New_flatmate_preferences_Couples_OK?,New_flatmate_preferences_Smoking_OK?,New_flatmate_preferences_Pets_OK?,New_flatmate_preferences_Occupation,New_flatmate_preferences_Housing_Benefit,New_flatmate_preferences_References?,New_flatmate_preferences_Gender,image_url
https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=11583703&search_id=&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Foffset%3D0&featured=1&listing_click=1,House share,Wellington,TF1,,£475 pcm,Now,3 months,None,£110.00,£110.00,£100.00,,Yes,Yes,,shared,Yes,,,4,5,21 to 28,,,English,Professional,No,No,No,Professional,No,Yes,21,https://photos2.spareroom.co.uk/images/flatshare/listings/large/63/86/63869599.jpg
https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=15304443&search_id=&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Foffset%3D0&,Shared property,Colchester,CO2,£650 pcm,,Now,1 month,None,£650.00,Yes,,,Yes,No,No,No,No,No,Yes,7,8,22 to 47,,,English,Professional,Yes,No,No,Professional,Yes,Yes,21,https://photos2.spareroom.co.uk/images/flatshare/listings/large/77/22/77223160.jpg
https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=2458906&search_id=&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Foffset%3D0&,Flat share,Colchester,CO1,£410 pcm,,Now,3 months,None,£250.00,Yes,,,No,No,No,No,No,shared,Yes,4,5,21 to 49,,,English,Mixed,No,No,No,Don't mind,No,Yes,21,https://photos2.spareroom.co.uk/images/flatshare/listings/large/75/91/75917179.jpg
https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=15320726&search_id=&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Foffset%3D0&,House share,West Ealing,W13,£630 pcm,,Now,2 months,None,£500.00,Yes,,,Yes,No,Yes,No,No,shared,Yes,6,7,24 to 33,,,English,Professional,No,Yes,No,Don't mind,Yes,Yes,Males or females,https://photos2.spareroom.co.uk/images/flatshare/listings/large/77/34/77347663.jpg
https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=15320725&search_id=&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Foffset%3D0&,Flat share,Devons Road,E3,£145 pw,,30 Jul 2020,2 months,None,£200.00,Yes,,,No,No,Yes,No,No,shared,Yes,4,5,22 to 34,,,English,-,No,Yes,No,Don't mind,No,No,18,https://photos2.spareroom.co.uk/images/flatshare/listings/large/77/34/77347660.jpg
https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=15320739&search_id=&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Foffset%3D0&,Flat share,Isle of Dogs,E14,£650 pcm,,Now,3 months,None,£650.00,Yes,,,No,No,No,No,No,No,Yes,2,3,23 to 32,,,Mixed,Mixed,Yes,Yes,No,Don't mind,No,No,18,https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=15320739&search_id=&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Foffset%3D0&
https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=2806740&search_id=&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Foffset%3D0&,House share,Acton,W3,£210 pw,,Now,6 months,None,"£1,075.00",Some,,,Yes,No,Yes,Yes,No,shared,Yes,3,5,25 to 30,,,English,Professional,Yes,No,No,Professional,No,Yes,23,https://photos2.spareroom.co.uk/images/flatshare/listings/large/72/55/72556942.jpg
https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=15320730&search_id=&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Foffset%3D0&,Shared property,Attleborough,CV11,£440 pw,,27 Aug 2020,3 months,None,£0.00,Yes,,,Yes,No,Yes,No,No,No,Yes,4,5,,,English,-,"2 Males, 2 Females",No,Yes,No,Professional,No,Yes,Males or females,https://photos2.spareroom.co.uk/images/flatshare/listings/large/77/34/77347701.jpg
https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=13329979&search_id=&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Foffset%3D0&,Shared property,Reading,RG6,,£595 pcm,Now,6 months,None,£686.00,£750.00,Yes,,Yes,No,Yes,No,No,shared,Yes,2,6,,,English,Professional,2 Males,No,No,No,Professional,No,Yes,20,https://photos2.spareroom.co.uk/images/flatshare/listings/large/76/33/76336414.jpg
https://www.spareroom.co.uk/flatshare/flatshare_detail.pl?flatshare_id=1776196&search_id=&city_id=&flatshare_type=offered&search_results=%2Fflatshare%2F%3Foffset%3D0&,House share,Colchester,CO2,£340 pcm,,Now,3 months,None,£200.00,Yes,,,Yes,No,Yes,No,No,No,Yes,1,4,21,,,English,Mixed,No,No,No,Professional,No,Yes,20,https://photos2.spareroom.co.uk/images/flatshare/listings/large/76/77/76772172.jpg
